作物编号,作物名称,具体品种品系,营养与功能性成分,成分英文标识,基地调控目标值,传统土培参考基线,计量单位,形态计算基准,当前检测实施阶段,权威检测依据与文献出处,营养健康价值与提质机理说明
crop_cherry_tomato_red,多彩圣女果 (红宝石千禧),千禧粉红 / 红太阳,番茄红素,lycopene,8.5,4.2,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),NY/T 1651-2008 蔬菜及制品中番茄红素的测定 & 《中国食物成分表》第6版,强力类胡萝卜素抗氧化剂，基质精准温光控水成倍提升
crop_cherry_tomato_red,多彩圣女果 (红宝石千禧),千禧粉红 / 红太阳,维生素C,vitamin_c,36.0,25.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB 5009.86-2016,鲜果天然酸甜与抗氧化基石
crop_cherry_tomato_yellow,多彩圣女果 (黄珍珠黄金蜜),黄金蜜 / 黄晶珍珠,β-胡萝卜素与叶黄素复合物,beta_carotene,1500.0,900.0,μg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB 5009.83-2016 & Food Chemistry (2018),金黄色泽天然来源，温和护眼且无酸涩负担
crop_cherry_tomato_yellow,多彩圣女果 (黄珍珠黄金蜜),黄金蜜 / 黄晶珍珠,维生素C,vitamin_c,38.0,26.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),GB 5009.86-2016,高维C鲜食水果型蔬菜
crop_cherry_tomato_black,多彩圣女果 (黑珍珠巧克力小番茄),黑珍珠 / 巧克力夏娃,果皮花青素,anthocyanin,24.0,12.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),NY/T 2640-2014 & Plant Physiology (2018) 黑番茄果实花青素富集研究,深紫黑外皮高富集花青素，与番茄红素协同抗氧化
crop_cherry_tomato_black,多彩圣女果 (黑珍珠巧克力小番茄),黑珍珠 / 巧克力夏娃,番茄红素,lycopene,6.8,3.5,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),NY/T 1651-2008,双重色素系统构筑超强自由基清除屏障
crop_strawberry_elevated,高架草莓 (红颜/隋珠),日本红颜 (Tochiotome) / 隋珠,维生素C,vitamin_c,65.0,47.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 05-1-002 草莓),天然浆果高维C代表，促进胶原蛋白合成与抗氧化
crop_strawberry_elevated,高架草莓 (红颜/隋珠),日本红颜 (Tochiotome) / 隋珠,总多酚物质 (以没食子酸计),total_phenols,220.0,160.0,mg/100g,鲜重 (直接食用形态),理论攻关与战略储备 (中长期光配方研发),Food Chemistry (2018) 高品质温室草莓多酚与抗氧化组分分析,草莓特有鞣花酸与多酚抗氧化体系
crop_water_spinach,空心菜 (水蕹菜/泰国白骨空心菜),泰国竹叶白骨水蕹菜,钾元素 (K),potassium,320.0,243.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表 标准版》第6版第二册 (编码 04-1-020 空心菜),夏季耐热高钾蔬菜，高效补充排汗流失电解质
crop_water_spinach,空心菜 (水蕹菜/泰国白骨空心菜),泰国竹叶白骨水蕹菜,维生素C,vitamin_c,35.0,25.0,mg/100g,鲜重 (直接食用形态),第三方权威实验室送检 (国标法定检验),《中国食物成分表》第6版第二册,夏季强光照下保持稳定抗坏血酸积累
